cntnum,stmerch,cntdate,deptcode,deptname,subdeptcode,subdeptname,sku,sbc,ibc,bndname,prname,prmodel,soh,cntqnt,varianceqnt,extphycnt_retail,extphycnt_cost,extphy_retailvar,extphy_costvar,gmperc,skutype,rpname
00010F111124001,00010,20241111,03,DT Accessories,0325,Case And Film,281562,0650450081694,             ,KATESPADE,CASE IP14P KATESPADE PTTHS SCATTEFLOWERS KSIPH223SFIRC ,?KSIPH223SFIRC,3,3,0,4770,3343.47,0,0,25,Credit,STK2
00010F111124001,00010,20241111,03,DT Accessories,0325,Case And Film,292843,4711401491651,             ,POWER SUPPORT                 ,AIR JACKET HYBRID FOR IP15 POWER SUPPORT PJYK31AJ CLEAR,PJYK-31AJ,3,3,0,2070,1450.92,0,0,25,Credit,STK2
00010F111124001,00010,20241111,03,DT Accessories,0325,Case And Film,298038,4897080295909,             ,M.CRAFTSMAN,CASE IP15PM MAGSAFE M.CRAFTSMAN MAGSAFE IP15PM CL,?MAGSAFE IP15PM CL,1,1,0,590,413.55,0,0,25,Credit,STK2
00010F111124001,00010,20241111,03,DT Accessories,0325,Case And Film,298125,2000002981251,             ,ZAGG,DEMO CASE DENALI SNAP WITH KICKSTAND FOR IP15 PM ZAGG 702312719 BK,?702312719,1,1,0,1890,1148.13,0,0,35,Credit,STK2
00010F111124001,00010,20241111,03,DT Accessories,0325,Case And Film,301230,1600010000015,             ,HEAL,CASE IPHONE 16 PRO MAX HEAL DIAMOND V2 CASE HEAL IP16PROMAX,CASE HEAL IP16PROMAX,94,94,0,64860,33822.14,0,0,44.2,Credit,STK2
00010F111124001,00010,20241111,03,DT Accessories,0325,Case And Film,298119,4710007834749,             ,IMOS,SAPPHIRE LENS PROTECTOR PVD IP15PRO IMOS 4710007834749,?4710007834749,2,2,0,2580,1567.28,0,0,35,Credit,STK2
00010F111124001,00010,20241111,03,DT Accessories,0325,Case And Film,301265,5715685010699,             ,SAFE,ULTRA WIDE FIT FOR IP 16 PM SAFE SAFE95964 CLEAR BK FRAME,SAFE95964,4,4,0,1960,1282.24,0,0,30,Credit,STK2
00010F111124001,00010,20241111,03,DT Accessories,0325,Case And Film,301280,5715685002403,             ,PANZERGLASS,ULTRA WIDE FIT FOR IPHONE 16 PRO MAX PANZERGLASS 2864,2864,3,3,0,4470,2088.78,0,0,50,Credit,STK2
00010F111124001,00010,20241111,03,DT Accessories,0325,Case And Film,301271,5715685002915,             ,SAFE,ULTRAWIDEFITANTIREFLECTIVEBULIGHTFORIP16PMSAFESAFE95882CLEAR,SAFE95882,4,4,0,2360,1543.92,0,0,30,Credit,STK2
00010F111124001,00010,20241111,03,DT Accessories,0325,Case And Film,301276,5715685002748,             ,PANZERGLASS,CLASSIC FIT FOR IPHONE 16 PRO MAX PANZERGLASS 2876,2876,3,3,0,2670,1247.67,0,0,50,Credit,STK2
00010F111124001,00010,20241111,03,DT Accessories,0325,Case And Film,298024,2000002980247,             ,KATE SPADE,DEMO CASE AIRTAG KATESPADE KS052974 HOLLYHOCK,?KS052974,1,1,0,890,540.65,0,0,35,Credit,STK2
00010F111124001,00010,20241111,03,DT Accessories,0325,Case And Film,301264,5715685010668,             ,SAFE,ULTRA WIDE FIT FOR IPHONE 16 SAFE SAFE95961 CLEAR BLACKFRAME,SAFE95961,3,3,0,1470,961.68,0,0,30,Credit,STK2
00010F111124001,00010,20241111,03,DT Accessories,0325,Case And Film,301232,1600010000039,             ,HEAL,CASE IPHONE 16 PLUS HEAL DIAMOND V2 CASE HEAL IP16PLUS,CASE HEAL IP16PLUS,2,2,0,1380,719.62,0,0,44.2,Credit,STK2
00010F111124001,00010,20241111,03,DT Accessories,0325,Case And Film,297999,3666339190880,             ,GUESS                         ,CASE IP15PM RHINESTONES WITH LOGO GUESS GUHCP15XHDGTPK BK,?GUHCP15XHDGTPK,3,3,0,5070,3553.74,0,0,25,Credit,STK2
00010F111124001,00010,20241111,03,DT Accessories,0325,Case And Film,298032,3666339211875,             ,MERCEDES BENZ-AMG,CASE IP15PM LIQUID MAGSAFE MERCEDES BENZ-AMG AMHMP15XRGDBK,?AMHMP15XRGDBK,3,3,0,4170,2922.9,0,0,25,Credit,STK2
00010F111124001,00010,20241111,03,DT Accessories,0325,Case And Film,298099,3666339158095,             ,TUMI,CASE IP15P FROSTED MAG TRANSPARENT TUMI TUHMP15LTSFN BL,?TUHMP15LTSFN,2,2,0,2980,2088.78,0,0,25,Credit,STK2
00010F111124001,00010,20241111,03,DT Accessories,0325,Case And Film,298100,3666339157982,             ,TUMI,CASE IP15PM FROSTED MAG TRANSPARENT TUMI TUHMP15XTSFK BK,?TUHMP15XTSFK,1,1,0,1490,1044.39,0,0,25,Credit,STK2
00010F111124001,00010,20241111,03,DT Accessories,0325,Case And Film,298096,0840171736199,             ,KATE SPADE,LENS PROTECTOR IP15P/15PM KATESPADE KS053072-05,?KS053072-05,3,3,0,2970,2081.79,0,0,25,Credit,STK2
00010F111124001,00010,20241111,03,DT Accessories,0325,Case And Film,301270,5715685002892,             ,SAFE,ULTRAWIDEFITANTIREFLECTIVE&BULIGHTFORIP16PSAFESAFE95880CLEAR,SAFE95880,3,3,0,1770,1157.94,0,0,30,Credit,STK2
00010F111124001,00010,20241111,03,DT Accessories,0325,Case And Film,301286,5715685002342,             ,PANZERGLASS,ULTRA WIDE FIT MATTE GAMING FOR IPHONE 16 P PANZERGLASS 2858,2858,3,3,0,4770,2228.97,0,0,50,Credit,STK2
00010F111124001,00010,20241111,03,DT Accessories,0325,Case And Film,299442,8800240236458,             ,SAMSUNG                       ,SAMSUNG BUDS3 KEITH HARING CLEAR CASE GP-FPR630SBATW,GP-FPR630SBATW,1,1,0,990,648,0,0,29.96,Credit,STK2
00010F111124001,00010,20241111,03,DT Accessories,0325,Case And Film,299459,8806095705385,             ,SAMSUNG                       ,SAMSUNG FLIP6 SILICONE CASE WITH RING NAVY EF-PF741TNEGWW,EF-PF741TNEGWW,4,4,0,4760,3116,0,0,29.96,Credit,STK2
00010F111124001,00010,20241111,03,DT Accessories,0325,Case And Film,288508,8806094919363,             ,SAMSUNG                       ,FILM_SCREEN PROTECTOR SAMSUN A54 5G EF-UA546CTEGWW,?EF-UA546CTEGWW,3,3,0,1170,765,0,0,30.04,Credit,STK2
00010F111124001,00010,20241111,03,DT Accessories,0325,Case And Film,291316,2000002913160,             ,SAMSUNG                       ,$$ BOOK COVER KB SLIM GALAXY TAB S9 SAMSUNG EF-DX710UBEGTH,EF-DX710UBEGTH,1,1,0,4990,1306,0,0,72,Credit,STK2
00010F111124001,00010,20241111,03,DT Accessories,0325,Case And Film,292243,8809866507355,             ,SAMSUNG                       ,FLIPSUIT CASE FOR GALAXY Z FLIP5_KAKAO FRIENDS SAMSUNG GP-FPF731HIBEW,?GP-FPF731HIBEW,1,1,0,1490,975,0,0,29.98,Credit,STK2
00010F111124001,00010,20241111,03,DT Accessories,0325,Case And Film,299454,8806095622866,             ,SAMSUNG                       ,SAMSUNG FOLD6 SILM S PEN GRIP CASE PINK EF-OF95PCPEGWW,EF-OF95PCPEGWW,2,2,0,5580,3650,0,0,30.01,Credit,STK2
00010F111124001,00010,20241111,03,DT Accessories,0325,Case And Film,273230,1000190000094,             ,HEAL,CASE ART LINE HYBRID PROTECTIVE HEAL CASE MINI6 PPWSTRIP,CASE MINI6 PPWSTRIP,10,10,0,9900,6476.6,0,0,30,Credit,STK2
00010F111124001,00010,20241111,03,DT Accessories,0325,Case And Film,295988,8806095452623,             ,SAMSUNG                       ,S24+ SCREEN PROTECTOR SAMSUNG EF-US926CTEGWW TRANSPARENCY,EF-US926CTEGWW,1,1,0,550,360,0,0,29.96,Credit,STK2
00010F111124001,00010,20241111,03,DT Accessories,0325,Case And Film,301287,5715685002366,             ,PANZERGLASS,ULTRA WIDE FIT MATTE GAMING FOR IP 16 PM PANZERGLASS 2860,2860,2,2,0,3180,1485.98,0,0,50,Credit,STK2
00010F111124001,00010,20241111,03,DT Accessories,0325,Case And Film,298079,0840171735352,             ,KATE SPADE,CASE AIRPODS PRO1/2 KATESPADE KS052916-05 MULTI FLORAL BLACK,?KS052916-05,1,1,0,1590,1114.49,0,0,25,Credit,STK2
