code,bu,stcode,DATE,food_credit,nonfood_consign,perishable_nonmer,totalsoh
PWB00801,PWB,00801,20250123,1.0,0.0,0.0,1.0
PWB00803,PWB,00803,20250123,18.0,59.0,0.0,77.0
PWB00804,PWB,00804,20250123,264.0,327.0,0.0,591.0
PWB00805,PWB,00805,20250123,1.0,0.0,0.0,1.0
PWB00899,PWB,00899,20250123,5.0,0.0,0.0,5.0
PWB00901,PWB,00901,20250123,3.0,0.0,0.0,3.0
PWB00992,PWB,00992,20250123,343.0,15.0,0.0,358.0
PWB02139,PWB,02139,20250123,12.0,2.0,0.0,14.0
PWB05028,PWB,05028,20250123,7.0,0.0,0.0,7.0
PWB05065,PWB,05065,20250123,31.0,12.0,0.0,43.0
PWB05071,PWB,05071,20250123,2.0,0.0,0.0,2.0
PWB05111,PWB,05111,20250123,7.0,3.0,0.0,10.0
PWB05132,PWB,05132,20250123,5.0,3.0,0.0,8.0
PWB05143,PWB,05143,20250123,41.0,0.0,0.0,41.0
PWB05169,PWB,05169,20250123,9.0,3.0,0.0,12.0
PWB05170,PWB,05170,20250123,2.0,1.0,0.0,3.0
PWB10099,PWB,10099,20250123,641.0,61.0,0.0,702.0
PWB10991,PWB,10991,20250123,229.0,6.0,0.0,235.0
PWB11065,PWB,11065,20250123,1629.0,288.0,0.0,1917.0
PWB11071,PWB,11071,20250123,410.0,7.0,0.0,417.0
PWB11109,PWB,11109,20250123,88.0,13.0,0.0,101.0
PWB11132,PWB,11132,20250123,186.0,21.0,0.0,207.0
PWB11143,PWB,11143,20250123,399.0,21.0,0.0,420.0
PWB11144,PWB,11144,20250123,370.0,3.0,0.0,373.0
PWB11152,PWB,11152,20250123,174.0,9.0,0.0,183.0
PWB11169,PWB,11169,20250123,40.0,0.0,0.0,40.0
PWB20099,PWB,20099,20250123,3005.0,83.0,0.0,3088.0
PWB23099,PWB,23099,20250123,164.0,0.0,0.0,164.0
PWB24991,PWB,24991,20250123,509.0,0.0,0.0,509.0
PWB26099,PWB,26099,20250123,12.0,0.0,0.0,12.0
PWB29099,PWB,29099,20250123,34.0,0.0,0.0,34.0
PWB30099,PWB,30099,20250123,113.0,1.0,0.0,114.0
PWB50099,PWB,50099,20250123,1276.0,0.0,0.0,1276.0
PWB50139,PWB,50139,20250123,70.0,3.0,0.0,73.0
PWB51099,PWB,51099,20250123,4736.0,61.0,0.0,4797.0
PWB52099,PWB,52099,20250123,5222.0,33.0,0.0,5255.0
PWB53099,PWB,53099,20250123,32.0,529.0,0.0,561.0
PWB60099,PWB,60099,20250123,165.0,0.0,0.0,165.0
PWB70099,PWB,70099,20250123,6689.0,0.0,0.0,6689.0
PWB80099,PWB,80099,20250123,993.0,2.0,0.0,995.0
PWB80991,PWB,80991,20250123,21.0,0.0,0.0,21.0
PWB88899,PWB,88899,20250123,168.0,7.0,0.0,175.0
