store,cntdate,countname,dpt,sdpt,cls,scls,sku,ibc,sbc,sku_des,brandid,brnnam,vendor,vend_nam,catalogue,coldsc,sizdsc,retail,cost,soh,qty_count,qty_var,extrtl_var,extcst_var,skutype,rpname,phycnt_cst,phycnt_rtl,percen_var,gm,vnd_vat_rate
FC071,20240916,,520,209,,,396898,,000000A013494,โต๊ะทำงาน เฟอร์ราเดค Ronan 148U-WW สีขาว,,,,,,,,6990,1893.53,1,1,0,0,0,Credit,STK2,1893.53,6990,,,
FC071,20240916,,520,217,,,457402,,0000073392408,ตัวโชว์-เก้าอี้ผู้บริหาร เฟอร์ราเดค Comfy สีดำ,,,,,,,,6990,1833.42,1,1,0,0,0,Credit,STK2,1833.42,6990,,,
FC071,20240916,,520,217,,,457434,,0000073392729,ตัวโชว์-โต๊ะทำงานพร้อมตู้ข้าง เฟอร์ราเดค CT-1727 ลายไม้,,,,,,,,6990,2051.56,1,1,0,0,0,Credit,STK2,2051.56,6990,,,
FC071,20240916,,520,209,,,396895,,0000072714348,โต๊ะทำงาน เฟอร์ราเดค Abel 147 สีดาร์กโอ๊ค,,,,,,,,6900,1652.79,1,1,0,0,0,Credit,STK2,1652.79,6900,,,
FC071,20240916,,520,203,,,315532,,0656292459639,เก้าอี้ผู้บริหาร น้ำตาล เฟอร์ราเดค Parham,,,,,,,,6890,2767.78,1,1,0,0,0,Credit,STK2,2767.78,6890,,,
FC071,20240916,,520,217,,,457392,,0000073392309,ตัวโชว์-เก้าอี้ผู้บริหาร เฟอร์ราเดค Parham สีน้ำตาล,,,,,,,,6890,2723.76,1,1,0,0,0,Credit,STK2,2723.76,6890,,,
FC071,20240916,,520,203,,,405404,,0000072386101,เก้าอี้ Gaming ดำ-แดง เฟอร์ราเดค ROV-PRO,,,,,,,,6590,2761.36,1,1,0,0,0,Credit,STK2,2761.36,6590,,,
FC071,20240916,,520,217,,,457424,,0000073392620,ตัวโชว์-เก้าอี้ Gaming เฟอร์ราเดค ROV-PRO สีดำ-แดง,,,,,,,,6590,3073.82,1,1,0,0,0,Credit,STK2,3073.82,6590,,,
FC071,20240916,,520,217,,,457414,,0000073392521,ตัวโชว์-เก้าอี้สำนักงาน เฟอร์ราเดค Jammily สีดำ,,,,,,,,6090,1741.61,1,1,0,0,0,Credit,STK2,1741.61,6090,,,
FC071,20240916,,520,203,,,438747,,0000073206569,เก้าอี้เพื่อสุขภาพ เฟอร์ราเดค Friendly Black สีดำ,,,,,,,,5990,2325.51,-1,0,1,5990,2325.51,Credit,STK2,0,0,,,
